Id,Year,Month,Day,Hour,Minute,Second,Tsunami,Country,Location Name,Latitude,Longitude,Focal Depth (km),Mag,MMI Int,Deaths,Injuries,Damage ($Mil),Houses Destroyed
4211,1960,1,13,15,40,34,1896,PERU,"PERU:  AREQUIPA,CHUQUIBAMBA,CARAVELI,COTAHUASI",-15.75,-72.75,160,7.8,10,63,200,,
4213,1960,1,15,9,30,0,,PERU,"PERU:  LIMA,NAZCA,ICA,HUANCAVELIC,PALPA,HUAITARA",-15,-75,150,7,,63,,,
4214,1960,2,21,8,13,31,,ALGERIA,ALGERIA:  MELOUZA,36,4.1,33,5.6,,47,88,,
4216,1960,2,29,23,40,14,1897,MOROCCO,MOROCCO:  AGADIR,30.45,-9.62,33,5.9,10,13100,25000,120,
4220,1960,4,24,12,14,31.7,,IRAN,IRAN:  LAR,27.814,54.497,15,5.9,7,420,3000,20,
4221,1960,4,29,9,16,20,,INDONESIA,INDONESIA:  CENTRAL SULAWESI:  UNA-UNA ISLAND,-0.5,121.5,,,8,,,,50
4223,1960,5,21,10,2,50,1901,CHILE,CHILE:  CENTRAL,-37.872,-73.243,35,8.2,,,,,
4227,1960,5,22,19,11,17,1902,CHILE,"CHILE:  PUERTO MONTT, VALDIVIA",-38.143,-73.407,33,9.5,12,2000,3000,1000,58622
4228,1960,5,26,5,10,0,,GREECE,GREECE-ALBANIA,40,20,,6.5,,8,,,
4229,1960,7,30,2,4,0,,ECUADOR,ECUADOR,-1.5,-79,21,,,11,,,
4230,1960,8,27,15,58,0,,INDIA,INDIA:  N,28.6,76.7,58,,,,,,
4232,1960,9,22,9,5,32.5,,CONGO,CONGO:  LAKE TANGANYIKA,-3.6,29,28,6.6,,24,,,
4233,1960,10,7,,,0,,PHILIPPINES,PHILIPPINES:  PANAY,11.1,122.3,,,,3,,,
4234,1960,11,20,22,1,56.4,1907,PERU,PERU,-6.8,-80.7,93,6.7,,,,,
4237,1961,2,4,8,51,0,,INDIA,INDIA,24.9,93.34,141,7.6,,,,,
4238,1961,2,26,18,10,48.7,1914,JAPAN,JAPAN:  MIYAZAKI,31.6,131.8,74,7.3,,2,7,,170
4239,1961,3,7,10,10,0,,KERMADEC ISLANDS (NEW ZEALAND),KERMADEC ISLANDS,-28.3,-175.7,40,7.5,,,,,
4240,1961,3,16,13,45,35.6,,INDONESIA,INDONESIA:  FLORES:  ENDEH,-8.2,122,74,6.5,8,2,6,,
4241,1961,3,24,10,36,0,,ITALY,ITALY:  SICILY,38,15.3,,,,15,,,
4242,1961,4,4,21,32,0,,USA,CALIFORNIA:  TERMINAL ISLAND,34,-118,16,,,,,4.5,
4243,1961,6,1,23,29,25.6,,ETHIOPIA,ETHIOPIA:  KARAKORE,10.466,39.717,33,6.2,9,160,,,
4246,1961,6,11,5,10,28.1,,IRAN,"IRAN:  DEHKUYEH,KHANEH,LAR,SHAGHEB,NOKHRIZ,BIGHU",27.861,54.528,15,6.4,8,60,,,500
4247,1961,6,27,0,49,0,,IRAN,IRAN,33.5,49.4,,,,5,,,
4248,1961,8,19,5,33,0,,JAPAN,JAPAN:  HONSHU:  W COAST,36,136.7,,7.3,,10,,,
4249,1961,8,31,1,57,0,,PERU,PERU,-10.5,-70.7,629,7.5,,,,,
4250,1961,9,1,0,9,0,,SOUTH GEORGIA AND THE SOUTH SANDWICH ISLANDS,SOUTH SANDWICH ISLANDS,-59.5,-27.3,131,7.5,,,,,
4251,1961,9,5,,,0,,SOUTH GEORGIA AND THE SOUTH SANDWICH ISLANDS,SOUTH SANDWICH ISLANDS,-58,-27,,7.7,,,,,
4252,1961,9,8,11,26,32.3,,SOUTH GEORGIA AND THE SOUTH SANDWICH ISLANDS,SOUTH SANDWICH ISLANDS,-56.26,-27.283,105,7.7,,,,,
4253,1961,10,14,7,1,0,,IRAN,IRAN,33.6,48.1,33,,,2,,,
4254,1961,12,20,13,25,0,,COLOMBIA,COLOMBIA: EJE CAFETERO,4.49,-75.51,163,6.8,8,23,100,,
4255,1962,1,7,10,3,0,,CROATIA,BALKANS NW:  CROATIA,43.3,17.1,33,5.9,8,4,,,
